test_date,new_positive,issue_date
2021-08-11,15494,2022-04-26
2021-08-10,16194,2022-04-26
2021-08-09,16290,2022-04-26
2021-08-08,8708,2022-04-26
2021-08-07,9685,2022-04-26
2021-08-06,12862,2022-04-26
2021-08-05,13911,2022-04-26
2021-08-04,14062,2022-04-26
2021-08-03,14321,2022-04-26
2021-08-02,14110,2022-04-26
2021-08-01,8502,2022-04-26
2021-07-31,8491,2022-04-26
2021-07-30,11080,2022-04-26
2021-07-29,11758,2022-04-26
2021-07-28,11830,2022-04-26
2021-07-27,11233,2022-04-26
2021-07-26,11719,2022-04-26
2021-07-25,6415,2022-04-26
2021-07-24,6746,2022-04-26
2021-07-23,8120,2022-04-26
2021-07-22,8310,2022-04-26
2021-07-21,8775,2022-04-26
2021-07-20,8342,2022-04-26
2021-07-19,8390,2022-04-26
2021-07-18,4791,2022-04-26
2021-07-17,4673,2022-04-26
2021-07-16,5958,2022-04-26
2021-07-15,5852,2022-04-26
2021-07-14,5557,2022-04-26
2021-07-13,5380,2022-04-26
2021-07-12,5358,2022-04-26
2021-07-11,3124,2022-04-26
2021-07-10,3130,2022-04-26
2021-07-09,3601,2022-04-26
2021-07-08,3567,2022-04-26
2021-07-07,3756,2022-04-26
2021-07-06,3602,2022-04-26
2021-07-05,2780,2022-04-26
2021-07-04,1557,2022-04-26
2021-07-03,1679,2022-04-26
2021-07-02,2010,2022-04-26
2021-07-01,2156,2022-04-26
2021-06-30,2017,2022-04-26
2021-06-29,1881,2022-04-26
2021-06-28,1924,2022-04-26
2021-06-27,1171,2022-04-26
2021-06-26,1069,2022-04-26
2021-06-25,1302,2022-04-26
2021-06-24,1395,2022-04-26
2021-06-23,1230,2022-04-26
2021-06-22,1308,2022-04-26
2021-06-21,1392,2022-04-26
2021-06-20,799,2022-04-26
2021-06-19,743,2022-04-26
2021-06-18,928,2022-04-26
2021-06-17,1022,2022-04-26
2021-06-16,1073,2022-04-26
2021-06-15,1038,2022-04-26
2021-06-14,1150,2022-04-26
2021-06-13,703,2022-04-26
2021-06-12,672,2022-04-26
2021-06-11,852,2022-04-26
2021-06-10,872,2022-04-26
2021-06-09,927,2022-04-26
2021-06-08,1050,2022-04-26
2021-06-07,1038,2022-04-26
2021-06-06,607,2022-04-26
2021-06-05,642,2022-04-26
2021-06-04,854,2022-04-26
2021-06-03,996,2022-04-26
2021-06-02,1040,2022-04-26
2021-06-01,1208,2022-04-26
2021-05-31,590,2022-04-26
2021-05-30,585,2022-04-26
2021-05-29,601,2022-04-26
2021-05-28,858,2022-04-26
2021-05-27,917,2022-04-26
2021-05-26,975,2022-04-26
2021-05-25,1046,2022-04-26
2021-05-24,1207,2022-04-26
2021-05-23,661,2022-04-26
2021-05-22,701,2022-04-26
2021-05-21,943,2022-04-26
2021-05-20,993,2022-04-26
2021-05-19,1191,2022-04-26
2021-05-18,1225,2022-04-26
2021-05-17,1331,2022-04-26
2021-05-16,812,2022-04-26
2021-05-15,898,2022-04-26
2021-05-14,1174,2022-04-26
2021-05-13,1192,2022-04-26
2021-05-12,1351,2022-04-26
2021-05-11,1469,2022-04-26
2021-05-10,1635,2022-04-26
2021-05-09,937,2022-04-26
2021-05-08,1045,2022-04-26
2021-05-07,1439,2022-04-26
2021-05-06,1530,2022-04-26
2021-05-05,1695,2022-04-26
2021-05-04,1597,2022-04-26
2021-05-03,1966,2022-04-26
2021-05-02,1101,2022-04-26
2021-05-01,1274,2022-04-26
2021-04-30,1643,2022-04-26
2021-04-29,1660,2022-04-26
2021-04-28,1820,2022-04-26
2021-04-27,1872,2022-04-26
2021-04-26,2101,2022-04-26
2021-04-25,1212,2022-04-26
2021-04-24,1367,2022-04-26
2021-04-23,1816,2022-04-26
2021-04-22,1837,2022-04-26
2021-04-21,1993,2022-04-26
2021-04-20,2126,2022-04-26
2021-04-19,2436,2022-04-26
2021-04-18,1424,2022-04-26
2021-04-17,1552,2022-04-26
2021-04-16,2043,2022-04-26
2021-04-15,2112,2022-04-26
2021-04-14,2390,2022-04-26
2021-04-13,2412,2022-04-26
2021-04-12,2715,2022-04-26
2021-04-11,1564,2022-04-26
2021-04-10,1817,2022-04-26
2021-04-09,2271,2022-04-26
2021-04-08,2270,2022-04-26
2021-04-07,2618,2022-04-26
2021-04-06,2548,2022-04-26
2021-04-05,2873,2022-04-26
2021-04-04,1547,2022-04-26
2021-04-03,1705,2022-04-26
2021-04-02,2238,2022-04-26
2021-04-01,2335,2022-04-26
2021-03-31,2384,2022-04-26
2021-03-30,2429,2022-04-26
2021-03-29,2704,2022-04-26
2021-03-28,1606,2022-04-26
2021-03-27,1667,2022-04-26
2021-03-26,2265,2022-04-26
2021-03-25,2279,2022-04-26
2021-03-24,2675,2022-04-26
2021-03-23,2506,2022-04-26
2021-03-22,2706,2022-04-26
2021-03-21,1606,2022-04-26
2021-03-20,1715,2022-04-26
2021-03-19,2175,2022-04-26
2021-03-18,2216,2022-04-26
2021-03-17,2640,2022-04-26
2021-03-16,2505,2022-04-26
2021-03-15,2887,2022-04-26
2021-03-14,1596,2022-04-26
2021-03-13,1898,2022-04-26
2021-03-12,2501,2022-04-26
2021-03-11,2593,2022-04-26
2021-03-10,2772,2022-04-26
2021-03-09,2832,2022-04-26
2021-03-08,3340,2022-04-26
2021-03-07,1936,2022-04-26
2021-03-06,2201,2022-04-26
2021-03-05,2931,2022-04-26
2021-03-04,2939,2022-04-26
2021-03-03,3194,2022-04-26
2021-03-02,3262,2022-04-26
2021-03-01,3755,2022-04-26
2021-02-28,2179,2022-04-26
2021-02-27,2525,2022-04-26
2021-02-26,3348,2022-04-26
2021-02-25,3456,2022-04-26
2021-02-24,3873,2022-04-26
2021-02-23,4064,2022-04-26
2021-02-22,4703,2022-04-26
2021-02-21,2628,2022-04-26
2021-02-20,3105,2022-04-26
2021-02-19,4211,2022-04-26
2021-02-18,4415,2022-04-26
2021-02-17,5077,2022-04-26
2021-02-16,5661,2022-04-26
2021-02-15,5260,2022-04-26
2021-02-14,3502,2022-04-26
2021-02-13,4413,2022-04-26
2021-02-12,6204,2022-04-26
2021-02-11,6596,2022-04-26
2021-02-10,7489,2022-04-26
2021-02-09,7732,2022-04-26
2021-02-08,9422,2022-04-26
2021-02-07,5137,2022-04-26
2021-02-06,6655,2022-04-26
2021-02-05,9454,2022-04-26
2021-02-04,10148,2022-04-26
2021-02-03,11533,2022-04-26
2021-02-02,12619,2022-04-26
2021-02-01,15302,2022-04-26
2021-01-31,7982,2022-04-26
2021-01-30,10097,2022-04-26
2021-01-29,12797,2022-04-26
2021-01-28,14584,2022-04-26
2021-01-27,15755,2022-04-26
2021-01-26,17901,2022-04-26
2021-01-25,20186,2022-04-26
2021-01-24,10345,2022-04-26
2021-01-23,13467,2022-04-26
2021-01-22,19802,2022-04-26
2021-01-21,22140,2022-04-26
2021-01-20,25302,2022-04-26
2021-01-19,27545,2022-04-26
2021-01-18,23576,2022-04-26
2021-01-17,13536,2022-04-26
2021-01-16,19896,2022-04-26
2021-01-15,29005,2022-04-26
2021-01-14,31819,2022-04-26
2021-01-13,34556,2022-04-26
2021-01-12,38581,2022-04-26
2021-01-11,42128,2022-04-26
2021-01-10,19058,2022-04-26
2021-01-09,28610,2022-04-26
2021-01-08,41269,2022-04-26
2021-01-07,45217,2022-04-26
2021-01-06,50524,2022-04-26
2021-01-05,54809,2022-04-26
2021-01-04,60400,2022-04-26
2021-01-03,27055,2022-04-26
2021-01-02,37410,2022-04-26
2021-01-01,19389,2022-04-26
2020-12-31,35735,2022-04-26
2020-12-30,54080,2022-04-26
2020-12-29,58643,2022-04-26
2020-12-28,57960,2022-04-26
2020-12-27,26392,2022-04-26
2020-12-26,34715,2022-04-26
2020-12-25,13201,2022-04-26
2020-12-24,26844,2022-04-26
2020-12-23,45305,2022-04-26
2020-12-22,49073,2022-04-26
2020-12-21,48498,2022-04-26
2020-12-20,20946,2022-04-26
2020-12-19,29842,2022-04-26
2020-12-18,41778,2022-04-26
2020-12-17,44692,2022-04-26
2020-12-16,45984,2022-04-26
2020-12-15,48609,2022-04-26
2020-12-14,49546,2022-04-26
2020-12-13,21039,2022-04-26
2020-12-12,30793,2022-04-26
2020-12-11,40132,2022-04-26
2020-12-10,40892,2022-04-26
2020-12-09,41772,2022-04-26
2020-12-08,41458,2022-04-26
2020-12-07,41156,2022-04-26
2020-12-06,18404,2022-04-26
2020-12-05,24447,2022-04-26
2020-12-04,31982,2022-04-26
2020-12-03,31980,2022-04-26
2020-12-02,33571,2022-04-26
2020-12-01,34462,2022-04-26
2020-11-30,32674,2022-04-26
2020-11-29,16089,2022-04-26
2020-11-28,18167,2022-04-26
2020-11-27,18111,2022-04-26
2020-11-26,9225,2022-04-26
2020-11-25,20776,2022-04-26
2020-11-24,20636,2022-04-26
2020-11-23,21095,2022-04-26
2020-11-22,10237,2022-04-26
2020-11-21,12317,2022-04-26
2020-11-20,17440,2022-04-26
2020-11-19,16696,2022-04-26
2020-11-18,17234,2022-04-26
2020-11-17,17124,2022-04-26
2020-11-16,17653,2022-04-26
2020-11-15,9133,2022-04-26
2020-11-14,9900,2022-04-26
2020-11-13,12465,2022-04-26
2020-11-12,11570,2022-04-26
2020-11-11,10634,2022-04-26
2020-11-10,10924,2022-04-26
2020-11-09,11112,2022-04-26
2020-11-08,5519,2022-04-26
2020-11-07,6423,2022-04-26
2020-11-06,8532,2022-04-26
2020-11-05,8157,2022-04-26
2020-11-04,8462,2022-04-26
2020-11-03,8261,2022-04-26
2020-11-02,8465,2022-04-26
2020-11-01,4972,2022-04-26
2020-10-31,4460,2022-04-26
2020-10-30,5537,2022-04-26
2020-10-29,4872,2022-04-26
2020-10-28,4915,2022-04-26
2020-10-27,4842,2022-04-26
2020-10-26,5479,2022-04-26
2020-10-25,2909,2022-04-26
2020-10-24,3251,2022-04-26
2020-10-23,4557,2022-04-26
2020-10-22,4164,2022-04-26
2020-10-21,4420,2022-04-26
2020-10-20,4660,2022-04-26
2020-10-19,5026,2022-04-26
2020-10-18,2549,2022-04-26
2020-10-17,2951,2022-04-26
2020-10-16,3815,2022-04-26
2020-10-15,3912,2022-04-26
2020-10-14,3819,2022-04-26
2020-10-13,3850,2022-04-26
2020-10-12,4341,2022-04-26
2020-10-11,2225,2022-04-26
2020-10-10,3010,2022-04-26
2020-10-09,3557,2022-04-26
2020-10-08,3773,2022-04-26
